"","Interact.none","Interact.batch","Interact.lane","Interact.all","Interact.RIN","Interact.RIN.Batch","Interact.RIN.Lane","Interact.Batch.Lane","none","all","batch","lane","rin","batch.lane","batch.rin","lane.rin"
"Interact.none",1,0.349211882191222,0.358978155726095,0.352956584137322,0.370807606158978,0.345943948603401,0.349294407125823,0.342211625018809,0.381244500060992,0.383258317179566,0.372874746572587,0.383288383833254,0.387861087036051,0.371807156735152,0.374932027677786,0.390270549456519
"Interact.batch",0.349211882191222,1,0.344893187912288,0.34937495136291,0.342126576703774,0.345190548116186,0.331369044655718,0.352442137026242,0.346628722981264,0.344351010867898,0.346253620118045,0.34147903354169,0.34218036417744,0.355375922062024,0.345339044383254,0.348960048535278
"Interact.lane",0.358978155726095,0.344893187912288,1,0.344443488177259,0.349487739413236,0.348397260275922,0.362352969606553,0.352583440357583,0.360601317024983,0.366132754805682,0.357245742070628,0.357800864863875,0.362974162938148,0.361382517875834,0.36345376491763,0.359528170027754
"Interact.all",0.352956584137322,0.34937495136291,0.344443488177259,1,0.360475966015213,0.359853785096785,0.35738901926009,0.341272978041732,0.357522242086416,0.366859485214312,0.354165238519662,0.347213202382823,0.348227723180116,0.360533948138316,0.348169026559339,0.347310606733615
"Interact.RIN",0.370807606158978,0.342126576703774,0.349487739413236,0.360475966015213,1,0.360984357179378,0.366364060273317,0.352589256660277,0.37037083159013,0.372801446716122,0.38071099479094,0.369486314307138,0.366958932512633,0.367758720810791,0.368901071375002,0.364958176022125
"Interact.RIN.Batch",0.345943948603401,0.345190548116186,0.348397260275922,0.359853785096785,0.360984357179378,1,0.358714661259128,0.347156027335513,0.349800943520682,0.347134013935853,0.350823939137065,0.351291427056146,0.350809928630772,0.345714785588778,0.343308716073021,0.355411595601867
"Interact.RIN.Lane",0.349294407125823,0.331369044655718,0.362352969606553,0.35738901926009,0.366364060273317,0.358714661259128,1,0.360444226098456,0.355256770902435,0.350672602413077,0.353287915385981,0.355560458883651,0.357923683928765,0.350698657226544,0.351153850311097,0.353451311498736
"Interact.Batch.Lane",0.342211625018809,0.352442137026242,0.352583440357583,0.341272978041732,0.352589256660277,0.347156027335513,0.360444226098456,1,0.355563759735822,0.35541726547655,0.353675602808569,0.360603864679709,0.353381789685788,0.36114949801487,0.358582611660666,0.360813847362434
"none",0.381244500060992,0.346628722981264,0.360601317024983,0.357522242086416,0.37037083159013,0.349800943520682,0.355256770902435,0.355563759735822,1,0.399063186402654,0.394057850382355,0.403213238736769,0.403688333662911,0.395916582791565,0.394013811479204,0.394530149548488
"all",0.383258317179566,0.344351010867898,0.366132754805682,0.366859485214312,0.372801446716122,0.347134013935853,0.350672602413077,0.35541726547655,0.399063186402654,1,0.393115286566668,0.399128252248157,0.395540792325859,0.398274642825337,0.393346205290189,0.402660935414067
"batch",0.372874746572587,0.346253620118045,0.357245742070628,0.354165238519662,0.38071099479094,0.350823939137065,0.353287915385981,0.353675602808569,0.394057850382355,0.393115286566668,1,0.39838718285183,0.395744457712124,0.426440180052859,0.418545604273374,0.395176905955675
"lane",0.383288383833254,0.34147903354169,0.357800864863875,0.347213202382823,0.369486314307138,0.351291427056146,0.355560458883651,0.360603864679709,0.403213238736769,0.399128252248157,0.39838718285183,1,0.425812633175793,0.398493870206164,0.394676978509198,0.391968314855371
"rin",0.387861087036051,0.34218036417744,0.362974162938148,0.348227723180116,0.366958932512633,0.350809928630772,0.357923683928765,0.353381789685788,0.403688333662911,0.395540792325859,0.395744457712124,0.425812633175793,1,0.395354894163354,0.392742407805089,0.399933828405185
"batch.lane",0.371807156735152,0.355375922062024,0.361382517875834,0.360533948138316,0.367758720810791,0.345714785588778,0.350698657226544,0.36114949801487,0.395916582791565,0.398274642825337,0.426440180052859,0.398493870206164,0.395354894163354,1,0.412738398068243,0.396404311186675
"batch.rin",0.374932027677786,0.345339044383254,0.36345376491763,0.348169026559339,0.368901071375002,0.343308716073021,0.351153850311097,0.358582611660666,0.394013811479204,0.393346205290189,0.418545604273374,0.394676978509198,0.392742407805089,0.412738398068243,1,0.400221125462639
"lane.rin",0.390270549456519,0.348960048535278,0.359528170027754,0.347310606733615,0.364958176022125,0.355411595601867,0.353451311498736,0.360813847362434,0.394530149548488,0.402660935414067,0.395176905955675,0.391968314855371,0.399933828405185,0.396404311186675,0.400221125462639,1
